COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.466299998
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799999
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.6121
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.826299995
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.2022
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.09199995
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;48217633.65450001
01;2010;01;Autre;02;1239409363.73
01;2010;01;Autre;04;2906311.4513000003
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15520027.291899998
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;04;70183914.4013
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;36319137.40979999
01;2010;02;Autre;02;933336269.8099998
01;2010;02;Autre;04;2179711.9172000005
01;2010;02;Bureautique;02;1451233146.74
01;2010;02;Cuisson;01;11895716.137100002
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;04;52637987.7892
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;104081050.07800004
01;2010;03;Autre;02;2667450815.17
01;2010;03;Autre;04;5947629.6400000015
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;40610155.5586
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;04;143648083.757
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917611.992899999
01;2010;04;Autre;02;72267636.401
01;2010;04;Autre;04;170672.7898
01;2010;04;Bureautique;02;123791808.11689997
01;2010;04;Cuisson;01;618169.6863
01;2010;04;Cuisson;02;4207289.685700001
01;2010;04;Cuisson;04;2351681.8562
01;2010;04;Froid_alimentaire;02;1545724.7392
01;2010;04;Process;02;1595910.6069999998
01;2011;01;Autre;01;46540939.11150001
01;2011;01;Autre;02;1239328351.57
01;2011;01;Autre;04;2805248.9255999997
01;2011;01;Bureautique;02;1943638177.02
01;2011;01;Cuisson;01;14463005.8856
01;2011;01;Cuisson;02;1.3515354E+8
01;2011;01;Cuisson;04;67158508.3663
01;2011;01;Froid_alimentaire;02;33533899.878999993
01;2011;01;Process;02;27291936.317900002
01;2011;02;Autre;01;35056190.90700001
01;2011;02;Autre;02;933275354.2799999
01;2011;02;Autre;04;2103915.3343
01;2011;02;Bureautique;02;1463655339.2
01;2011;02;Cuisson;01;11085535.7239
01;2011;02;Cuisson;02;101787857.96700001
01;2011;02;Cuisson;04;50368923.89140001
01;2011;02;Froid_alimentaire;02;25252679.0064
01;2011;02;Process;02;20552172.752999995
01;2011;03;Autre;01;100461769.73500001
01;2011;03;Autre;02;2667276515.16
01;2011;03;Autre;04;5740809.263699999
01;2011;03;Bureautique;02;4183087618.3900003
01;2011;03;Cuisson;01;37844318.75289999
01;2011;03;Cuisson;02;291242041.5990001
01;2011;03;Cuisson;04;137455836.38600004
01;2011;03;Froid_alimentaire;02;72171493.1078
01;2011;03;Process;02;58737568.42419999
01;2011;04;Autre;01;5781705.825999999
01;2011;04;Autre;02;145721552.382
01;2011;04;Autre;04;338214.9403999999
01;2011;04;Bureautique;02;250677232.25500003
01;2011;04;Cuisson;01;1204394.8539
01;2011;04;Cuisson;02;8616843.7731
01;2011;04;Cuisson;04;4640630.2358
01;2011;04;Froid_alimentaire;02;3104315.5704
01;2011;04;Process;02;3215744.391099999
01;2012;01;Autre;01;44922547.723
01;2012;01;Autre;02;1239188245.48
01;2012;01;Autre;04;2707700.680800001
01;2012;01;Bureautique;02;1960275508.66
01;2012;01;Cuisson;01;13477975.8927
01;2012;01;Cuisson;02;138721356.70699996
01;2012;01;Cuisson;04;64263515.13870001
01;2012;01;Froid_alimentaire;02;33262044.1918
01;2012;01;Process;02;27252629.9507
01;2012;02;Autre;01;33837157.29049999
01;2012;02;Autre;02;933169751.3499999
01;2012;02;Autre;04;2030754.4293999998
01;2012;02;Bureautique;02;1476183774.46
01;2012;02;Cuisson;01;10330532.9345
01;2012;02;Cuisson;02;104478978.576
01;2012;02;Cuisson;04;48197667.50950001
01;2012;02;Froid_alimentaire;02;25047954.651800003
01;2012;02;Process;02;20522570.4387
01;2012;03;Autre;01;96968344.39999998
01;2012;03;Autre;02;2666974812.08
01;2012;03;Autre;04;5541180.9810999995
01;2012;03;Bureautique;02;4218893301.7900004
01;2012;03;Cuisson;01;35266852.403900005
01;2012;03;Cuisson;02;299072817.789
01;2012;03;Cuisson;04;131530531.17900002
01;2012;03;Froid_alimentaire;02;71586399.57850002
01;2012;03;Process;02;58652971.52959999
01;2012;04;Autre;01;8545065.835900001
01;2012;04;Autre;02;220430402.30000004
01;2012;04;Autre;04;499864.4215999999
01;2012;04;Bureautique;02;381350814.9370001
01;2012;04;Cuisson;01;1739887.3890999996
01;2012;04;Cuisson;02;13296136.2986
01;2012;04;Cuisson;04;6819941.870499999
01;2012;04;Froid_alimentaire;02;4670801.995800001
01;2012;04;Process;02;4859897.1031
01;2013;01;Autre;01;43360429.0117
01;2013;01;Autre;02;1238991221.8900003
01;2013;01;Autre;04;2613544.1452000015
01;2013;01;Bureautique;02;1977054858.1899998
01;2013;01;Cuisson;01;12560031.382400002
01;2013;01;Cuisson;02;142097738.203
01;2013;01;Cuisson;04;61493308.415400006
01;2013;01;Froid_alimentaire;02;32992389.998299986
01;2013;01;Process;02;27213377.368999995
01;2013;02;Autre;01;32660512.591099996
01;2013;02;Autre;02;933021279.6299999
01;2013;02;Autre;04;1960137.2866000005
01;2013;02;Bureautique;02;1488819247.5899997
01;2013;02;Cuisson;01;9626951.274999999
01;2013;02;Cuisson;02;107025423.42199999
01;2013;02;Cuisson;04;46120004.223699994
01;2013;02;Froid_alimentaire;02;24844888.3374
01;2013;02;Process;02;20493009.4194
01;2013;03;Autre;01;93596405.70399998
01;2013;03;Autre;02;2666550338.79
01;2013;03;Autre;04;5348493.888100001
01;2013;03;Bureautique;02;4255005593.5900006
01;2013;03;Cuisson;01;32864930.3365
01;2013;03;Cuisson;02;306473611.02800006
01;2013;03;Cuisson;04;125860639.152
01;2013;03;Froid_alimentaire;02;71006047.86150001
01;2013;03;Process;02;58568485.751999974
01;2013;04;Autre;01;11194581.9288
01;2013;04;Autre;02;296427051.0750001
01;2013;04;Autre;04;654854.2967000001
01;2013;04;Bureautique;02;516119164.557
01;2013;04;Cuisson;01;2221367.3152000005
01;2013;04;Cuisson;02;18262147.568000004
01;2013;04;Cuisson;04;8877726.9656
01;2013;04;Froid_alimentaire;02;6243603.046300001
01;2013;04;Process;02;6528772.539500003
01;2014;01;Autre;01;41852630.1506
01;2014;01;Autre;02;1238739125.21
01;2014;01;Autre;04;2522661.8264000006
01;2014;01;Bureautique;02;1993977993.73
01;2014;01;Cuisson;01;11704606.002199998
01;2014;01;Cuisson;02;145292633.588
01;2014;01;Cuisson;04;58842518.14600001
01;2014;01;Froid_alimentaire;02;32724922.8364
01;2014;01;Process;02;27174181.505699996
01;2014;02;Autre;01;31524784.728699993
01;2014;02;Autre;02;932831297.1199999
01;2014;02;Autre;04;1891975.9769000004
01;2014;02;Bureautique;02;1501562797.27
01;2014;02;Cuisson;01;8971287.591000004
01;2014;02;Cuisson;02;109434720.447
01;2014;02;Cuisson;04;44131909.24199999
01;2014;02;Froid_alimentaire;02;24643468.8722
01;2014;02;Process;02;20463492.975300003
01;2014;03;Autre;01;90341718.62699999
01;2014;03;Autre;02;2666007700.2299995
01;2014;03;Autre;04;5162507.2755
01;2014;03;Bureautique;02;4291427223.06
01;2014;03;Cuisson;01;30626596.014200002
01;2014;03;Cuisson;02;313467374.8640001
01;2014;03;Cuisson;04;120435168.00099999
01;2014;03;Froid_alimentaire;02;70430403.51599999
01;2014;03;Process;02;58484127.756400004
