"scenario";"annee";"surface";"surface_lag";"raccordement"
"S0 Nopol";"2009";56476789.6076;0;56476789.6076
"S0 Nopol";"2010";55219219.4923;56476789.6076;-1257570.1153
"S0 Nopol";"2011";53902241.927;55219219.4923;-1316977.5653
"S0 Nopol";"2012";52645596.7447;53902241.927;-1256645.1823
"S0 Nopol";"2013";51436632.3078;52645596.7447;-1208964.4369
"S0 Nopol";"2014";50082593.4952;51436632.3078;-1354038.8126
"S0 Nopol";"2015";48705297.3714;50082593.4952;-1377296.12380001
"S0 Nopol";"2016";47220320.6546;48705297.3714;-1484976.71679999
"S0 Nopol";"2017";45768324.3486;47220320.6546;-1451996.30600001
"S0 Nopol";"2018";44346847.5674;45768324.3486;-1421476.78119999
"S0 Nopol";"2019";42936916.0682;44346847.5674;-1409931.4992
"S0 Nopol";"2020";41538460.4592;42936916.0682;-1398455.609
"S0 Nopol";"2021";40049161.1152;41538460.4592;-1489299.344
"S0 Nopol";"2022";38570260.9229;40049161.1152;-1478900.1923
"S0 Nopol";"2023";37101478.8144;38570260.9229;-1468782.1085
"S0 Nopol";"2024";35643386.993;37101478.8144;-1458091.82140001
"S0 Nopol";"2025";34201733.8957;35643386.993;-1441653.09729999
"S0 Nopol";"2026";32772223.9861;34201733.8957;-1429509.9096
"S0 Nopol";"2027";31365620.8485;32772223.9861;-1406603.1376
"S0 Nopol";"2028";29968806.4169;31365620.8485;-1396814.4316
"S0 Nopol";"2029";28605010.6175;29968806.4169;-1363795.7994
"S0 Nopol";"2030";27298637.3222;28605010.6175;-1306373.2953
"S0 Nopol";"2031";25979474.641;27298637.3222;-1319162.6812
"S0 Nopol";"2032";24712802.63;25979474.641;-1266672.011
"S0 Nopol";"2033";23552963.8265;24712802.63;-1159838.8035
"S0 Nopol";"2034";22548472.7778;23552963.8265;-1004491.0487
"S0 Nopol";"2035";21605037.8929;22548472.7778;-943434.884900004
"S0 Nopol";"2036";20658390.5725;21605037.8929;-946647.3204
"S0 Nopol";"2037";19718825.1988;20658390.5725;-939565.3737
"S0 Nopol";"2038";18791227.3195;19718825.1988;-927597.879299998
"S0 Nopol";"2039";17887291.1907;18791227.3195;-903936.128799997
"S0 Nopol";"2040";16988413.8908;17887291.1907;-898877.299900003
"S0 Nopol";"2041";16086508.0396;16988413.8908;-901905.851199999
"S0 Nopol";"2042";15196102.8589;16086508.0396;-890405.180699999
"S0 Nopol";"2043";15215543.9679;15196102.8589;19441.1089999974
"S0 Nopol";"2044";15242373.3447;15215543.9679;26829.3768000025
"S0 Nopol";"2045";15166314.9555;15242373.3447;-76058.3892000001
