COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.4662999986
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799999
01;2009;01;Cuisson;03;4543555.6033
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.6121
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.82629999
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.2022
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.092
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;49882785.0645
01;2010;01;Autre;02;1237643843.16
01;2010;01;Autre;04;3006678.5299999993
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15936384.499199998
01;2010;01;Cuisson;02;130967434.15799999
01;2010;01;Cuisson;03;4347698.0901
01;2010;01;Cuisson;04;69994596.3704
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;37573388.29330001
01;2010;02;Autre;02;932006829.3000001
01;2010;02;Autre;04;2254986.4077
01;2010;02;Bureautique;02;1451233146.7399998
01;2010;02;Cuisson;01;12214842.6671
01;2010;02;Cuisson;02;98624954.13
01;2010;02;Cuisson;03;3274031.4853000003
01;2010;02;Cuisson;04;52495423.7078
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;107675408.34400001
01;2010;03;Autre;02;2663650963.8
01;2010;03;Autre;04;6153026.239999999
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;41699607.3061
01;2010;03;Cuisson;02;281867492.53200006
01;2010;03;Cuisson;03;9357096.358700002
01;2010;03;Cuisson;04;143240648.48000002
01;2010;03;Froid_alimentaire;02;72761369.9825
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917611.9928999995
01;2010;04;Autre;02;72267636.401
01;2010;04;Autre;04;170672.7898
01;2010;04;Bureautique;02;123791808.11689997
01;2010;04;Cuisson;01;618169.6863
01;2010;04;Cuisson;02;4207289.685700001
01;2010;04;Cuisson;04;2351681.8562
01;2010;04;Froid_alimentaire;02;1545724.7392
01;2010;04;Process;02;1595910.6069999998
01;2011;01;Autre;01;49810949.3126
01;2011;01;Autre;02;1235861537.5299997
01;2011;01;Autre;04;3002348.5613999995
01;2011;01;Bureautique;02;1943638177.02
01;2011;01;Cuisson;01;15249415.7666
01;2011;01;Cuisson;02;134540422.414
01;2011;01;Cuisson;03;4160282.7347999997
01;2011;01;Cuisson;04;66977361.75329999
01;2011;01;Froid_alimentaire;02;33533899.878999993
01;2011;01;Process;02;27291936.317900002
01;2011;02;Autre;01;37519272.2035
01;2011;02;Autre;02;930664431.4599999
01;2011;02;Autre;04;2251738.6609000005
01;2011;02;Bureautique;02;1463655339.2
01;2011;02;Cuisson;01;11688297.3729
01;2011;02;Cuisson;02;101315583.00199999
01;2011;02;Cuisson;03;3132897.8437000006
01;2011;02;Cuisson;04;50232505.8301
01;2011;02;Froid_alimentaire;02;25252679.0064
01;2011;02;Process;02;20552172.752999995
01;2011;03;Autre;01;107520317.08100002
01;2011;03;Autre;02;2659814508.29
01;2011;03;Autre;04;6144164.319000001
01;2011;03;Bureautique;02;4183087461.99
01;2011;03;Cuisson;01;39902059.16219999
01;2011;03;Cuisson;02;289557223.3210001
01;2011;03;Cuisson;03;8953740.701100001
01;2011;03;Cuisson;04;137065966.39399996
01;2011;03;Froid_alimentaire;02;72171490.39769998
01;2011;03;Process;02;58737566.246199995
01;2011;04;Autre;01;5878959.854199999
01;2011;04;Autre;02;145618629.60099998
01;2011;04;Autre;04;343904.03729999997
01;2011;04;Bureautique;02;250677232.25500003
01;2011;04;Cuisson;01;1219849.2256000007
01;2011;04;Cuisson;02;8601389.912300002
01;2011;04;Cuisson;04;4640630.2358
01;2011;04;Froid_alimentaire;02;3104315.570399999
01;2011;04;Process;02;3215744.391099999
01;2012;01;Autre;01;49739213.112299986
01;2012;01;Autre;02;1234081578.4499998
01;2012;01;Autre;04;2998024.5928999996
01;2012;01;Bureautique;02;1960275508.66
01;2012;01;Cuisson;01;14592059.764499996
01;2012;01;Cuisson;02;137946124.34499997
01;2012;01;Cuisson;03;3980945.9589999993
01;2012;01;Cuisson;04;64090177.96669999
01;2012;01;Froid_alimentaire;02;33262044.191800002
01;2012;01;Process;02;27252629.9507
01;2012;02;Autre;01;37465230.64480001
01;2012;02;Autre;02;929323978.83
01;2012;02;Autre;04;2248495.3444999997
01;2012;02;Bureautique;02;1476183774.46
01;2012;02;Cuisson;01;11184450.6484
01;2012;02;Cuisson;02;103880217.82400003
01;2012;02;Cuisson;03;2997847.9405
01;2012;02;Cuisson;04;48067135.322799996
01;2012;02;Froid_alimentaire;02;25047954.651799995
01;2012;02;Process;02;20522570.4387
01;2012;03;Autre;01;107365439.05300003
01;2012;03;Autre;02;2655983346.7999997
01;2012;03;Autre;04;6135314.3551
01;2012;03;Bureautique;02;4218893117.19
01;2012;03;Cuisson;01;38181995.703300014
01;2012;03;Cuisson;02;296886911.02199996
01;2012;03;Cuisson;03;8567771.666700002
01;2012;03;Cuisson;04;131157471.14700001
01;2012;03;Froid_alimentaire;02;71586396.45510001
01;2012;03;Process;02;58652968.99959999
01;2012;04;Autre;01;8884767.698899997
01;2012;04;Autre;02;220070844.35900006
01;2012;04;Autre;04;519736.0983999999
01;2012;04;Bureautique;02;381350812.4070001
01;2012;04;Cuisson;01;1792709.2924999995
01;2012;04;Cuisson;02;13243312.204499999
01;2012;04;Cuisson;04;6819941.723099999
01;2012;04;Froid_alimentaire;02;4670801.9645
01;2012;04;Process;02;4859897.0698000025
01;2013;01;Autre;01;49667571.91399999
01;2013;01;Autre;02;1232304182.0299997
01;2013;01;Autre;04;2993706.6597000007
01;2013;01;Bureautique;02;1977054858.1899998
01;2013;01;Cuisson;01;13963039.9905
01;2013;01;Cuisson;02;141191760.262
01;2013;01;Cuisson;03;3809339.590100001
01;2013;01;Cuisson;04;61327440.59889998
01;2013;01;Froid_alimentaire;02;32992389.998399988
01;2013;01;Process;02;27213377.368999995
01;2013;02;Autre;01;37411264.935899995
01;2013;02;Autre;02;927985308.5999999
01;2013;02;Autre;04;2245256.7166999998
01;2013;02;Bureautique;02;1488819247.5899997
01;2013;02;Cuisson;01;10702322.324399998
01;2013;02;Cuisson;02;106324307.086
01;2013;02;Cuisson;03;2868619.3891000007
01;2013;02;Cuisson;04;45995094.650000006
01;2013;02;Froid_alimentaire;02;24844888.3374
01;2013;02;Process;02;20493009.4194
01;2013;03;Autre;01;107210788.66099998
01;2013;03;Autre;02;2652157727.8500004
01;2013;03;Autre;04;6126477.2606999995
01;2013;03;Bureautique;02;4255005287.310001
01;2013;03;Cuisson;01;36536079.0394
01;2013;03;Cuisson;02;303872060.62600005
01;2013;03;Cuisson;03;8198440.241599999
01;2013;03;Cuisson;04;125503674.374
01;2013;03;Froid_alimentaire;02;71006042.71790001
01;2013;03;Process;02;58568481.54499997
01;2013;04;Autre;01;11935772.2849
01;2013;04;Autre;02;295642542.5160001
01;2013;04;Autre;04;698211.9679999996
01;2013;04;Bureautique;02;516119159.177
01;2013;04;Cuisson;01;2333624.322100001
01;2013;04;Cuisson;02;18149888.526799995
01;2013;04;Cuisson;04;8877726.865500001
01;2013;04;Froid_alimentaire;02;6243602.978000003
01;2013;04;Process;02;6528772.466300001
01;2014;01;Autre;01;49596033.561000004
01;2014;01;Autre;02;1230529293.57
01;2014;01;Autre;04;2989395.0133999996
01;2014;01;Bureautique;02;1993977993.7299998
01;2014;01;Cuisson;01;13361134.009699997
01;2014;01;Cuisson;02;144284238.07199997
01;2014;01;Cuisson;03;3645130.5086999997
01;2014;01;Cuisson;04;58683804.48549999
01;2014;01;Froid_alimentaire;02;32724922.8365
01;2014;01;Process;02;27174181.5057
01;2014;02;Autre;01;37357377.92920001
01;2014;02;Autre;02;926648778.1800001
01;2014;02;Autre;04;2242022.5471000005
01;2014;02;Bureautique;02;1501562797.27
