COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.466299998
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799997
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599998
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.826299995
01;2009;02;Froid_alimentaire;02;25667148.369800005
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.903
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.202199999
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.09199995
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;49882785.0645
01;2010;01;Autre;02;1237643843.16
01;2010;01;Autre;04;3006678.5299999993
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15936384.499199998
01;2010;01;Cuisson;02;130967434.15799998
01;2010;01;Cuisson;03;4347698.0901
01;2010;01;Cuisson;04;69994596.3704
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;37573388.29330001
01;2010;02;Autre;02;932006829.3000001
01;2010;02;Autre;04;2254986.4077000003
01;2010;02;Bureautique;02;1451233146.74
01;2010;02;Cuisson;01;12214842.667099997
01;2010;02;Cuisson;02;98624954.13000001
01;2010;02;Cuisson;03;3274031.4853000003
01;2010;02;Cuisson;04;52495423.7078
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;107675408.34400003
01;2010;03;Autre;02;2663650963.8
01;2010;03;Autre;04;6153026.239999999
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;41699607.3061
01;2010;03;Cuisson;02;281867492.53200006
01;2010;03;Cuisson;03;9357096.358700002
01;2010;03;Cuisson;04;143240648.48000002
01;2010;03;Froid_alimentaire;02;72761369.9825
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;3241792.1814000006
01;2010;04;Autre;02;80297400.4906
01;2010;04;Autre;04;189636.49609999996
01;2010;04;Bureautique;02;123791805.32709996
01;2010;04;Cuisson;01;1236339.0561
01;2010;04;Cuisson;02;8414577.220500002
01;2010;04;Cuisson;04;4703362.510000001
01;2010;04;Froid_alimentaire;02;2208178.1490000007
01;2010;04;Process;02;1773233.968
01;2011;01;Autre;01;49810948.7126
01;2011;01;Autre;02;1235861521.6299999
01;2011;01;Autre;04;3002348.5116
01;2011;01;Bureautique;02;1943638153.7199998
01;2011;01;Cuisson;01;15249415.857600002
01;2011;01;Cuisson;02;134540420.82399997
01;2011;01;Cuisson;03;4160282.6818000004
01;2011;01;Cuisson;04;66977360.56329999
01;2011;01;Froid_alimentaire;02;33533899.4645
01;2011;01;Process;02;27291935.988900006
01;2011;02;Autre;01;37519272.3435
01;2011;02;Autre;02;930664434.7599999
01;2011;02;Autre;04;2251738.6699000006
01;2011;02;Bureautique;02;1463655343.1000001
01;2011;02;Cuisson;01;11688297.3889
01;2011;02;Cuisson;02;101315583.43200001
01;2011;02;Cuisson;03;3132897.8457
01;2011;02;Cuisson;04;50232505.990100004
01;2011;02;Froid_alimentaire;02;25252679.094299998
01;2011;02;Process;02;20552172.823
01;2011;03;Autre;01;107520318.54100001
01;2011;03;Autre;02;2659814543.29
01;2011;03;Autre;04;6144164.392000001
01;2011;03;Bureautique;02;4183087517.99
01;2011;03;Cuisson;01;39902059.952199996
01;2011;03;Cuisson;02;289557227.0210001
01;2011;03;Cuisson;03;8953740.826100001
01;2011;03;Cuisson;04;137065968.084
01;2011;03;Froid_alimentaire;02;72171491.373
01;2011;03;Process;02;58737567.03620001
01;2011;04;Autre;01;6532180.060199999
01;2011;04;Autre;02;161798467.231
01;2011;04;Autre;04;382115.7314
01;2011;04;Bureautique;02;250677220.06100002
01;2011;04;Cuisson;01;2439697.460299999
01;2011;04;Cuisson;02;17202780.477200005
01;2011;04;Cuisson;04;9281257.5328
01;2011;04;Froid_alimentaire;02;4434736.4416
01;2011;04;Process;02;3573049.3138999995
01;2012;01;Autre;01;49739211.37229999
01;2012;01;Autre;02;1234081535.7499998
01;2012;01;Autre;04;2998024.4755
01;2012;01;Bureautique;02;1960275441.9600003
01;2012;01;Cuisson;01;14592059.4665
01;2012;01;Cuisson;02;137946119.65499997
01;2012;01;Cuisson;03;3980945.8119999995
01;2012;01;Cuisson;04;64090175.1977
01;2012;01;Froid_alimentaire;02;33262043.006899998
01;2012;01;Process;02;27252629.012699995
01;2012;02;Autre;01;37465230.364800006
01;2012;02;Autre;02;929323973.33
01;2012;02;Autre;04;2248495.3304999997
01;2012;02;Bureautique;02;1476183763.3600001
01;2012;02;Cuisson;01;11184450.519399997
01;2012;02;Cuisson;02;103880217.27400002
01;2012;02;Cuisson;03;2997847.918499999
01;2012;02;Cuisson;04;48067134.9728
01;2012;02;Froid_alimentaire;02;25047954.4624
01;2012;02;Process;02;20522570.2587
01;2012;03;Autre;01;107365440.00300002
01;2012;03;Autre;02;2655983368.7999997
01;2012;03;Autre;04;6135314.400100001
01;2012;03;Bureautique;02;4218893153.19
01;2012;03;Cuisson;01;38181996.24340001
01;2012;03;Cuisson;02;296886913.422
01;2012;03;Cuisson;03;8567771.7418
01;2012;03;Cuisson;04;131157472.09700003
01;2012;03;Froid_alimentaire;02;71586397.06959999
01;2012;03;Process;02;58652969.48959999
01;2012;04;Autre;01;9871968.5327
01;2012;04;Autre;02;244523150.598
01;2012;04;Autre;04;577484.6999000002
01;2012;04;Bureautique;02;381350791.4420001
01;2012;04;Cuisson;01;3585417.339600001
01;2012;04;Cuisson;02;26486629.914000005
01;2012;04;Cuisson;04;13639880.4502
01;2012;04;Froid_alimentaire;02;6672573.842499999
01;2012;04;Process;02;5399886.324599999
01;2013;01;Autre;01;49667569.624
01;2013;01;Autre;02;1232304130.5299997
01;2013;01;Autre;04;2993706.5126000005
01;2013;01;Bureautique;02;1977054770.0899997
01;2013;01;Cuisson;01;13963039.5665
01;2013;01;Cuisson;02;141191753.982
01;2013;01;Cuisson;03;3809339.4091000007
01;2013;01;Cuisson;04;61327437.39989999
01;2013;01;Froid_alimentaire;02;32992388.49099999
01;2013;01;Process;02;27213376.182
01;2013;02;Autre;01;37411264.72590002
01;2013;02;Autre;02;927985304.4999999
01;2013;02;Autre;04;2245256.7087000003
01;2013;02;Bureautique;02;1488819236.5899997
01;2013;02;Cuisson;01;10702322.2104
01;2013;02;Cuisson;02;106324306.886
01;2013;02;Cuisson;03;2868619.3741000006
01;2013;02;Cuisson;04;45995094.49000001
01;2013;02;Froid_alimentaire;02;24844888.190899998
01;2013;02;Process;02;20493009.269399997
01;2013;03;Autre;01;107210790.581
01;2013;03;Autre;02;2652157798.86
01;2013;03;Autre;04;6126477.4167
01;2013;03;Bureautique;02;4255005401.310001
01;2013;03;Cuisson;01;36536079.29949999
01;2013;03;Cuisson;02;303872068.526
01;2013;03;Cuisson;03;8198440.3707
01;2013;03;Cuisson;04;125503676.62499999
01;2013;03;Froid_alimentaire;02;71006044.0343
01;2013;03;Process;02;58568482.10499997
01;2013;04;Autre;01;13261974.576200003
01;2013;04;Autre;02;328491712.49799997
01;2013;04;Autre;04;775791.2226
01;2013;04;Bureautique;02;516119046.43699986
01;2013;04;Cuisson;01;4667247.3959
01;2013;04;Cuisson;02;36299783.670099996
01;2013;04;Cuisson;04;17755447.4885
01;2013;04;Froid_alimentaire;02;8919433.1482
01;2013;04;Process;02;7254191.880599999
01;2014;01;Autre;01;49596028.661
01;2014;01;Autre;02;1230529178.2699997
01;2014;01;Autre;04;2989394.7257
01;2014;01;Bureautique;02;1993977804.4299998
01;2014;01;Cuisson;01;13361132.571699997
01;2014;01;Cuisson;02;144284224.59199998
01;2014;01;Cuisson;03;3645130.1377000003
01;2014;01;Cuisson;04;58683798.506500006
01;2014;01;Froid_alimentaire;02;32724919.614400003
01;2014;01;Process;02;27174178.890699998
01;2014;02;Autre;01;37357376.859200016
01;2014;02;Autre;02;926648753.28
01;2014;02;Autre;04;2242022.4871000005
01;2014;02;Bureautique;02;1501562751.3700001
