COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.4662999986
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799997
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.95759999
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700001
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.82629999
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.202199999
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.092
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;48217633.65450001
01;2010;01;Autre;02;1239409363.73
01;2010;01;Autre;04;2906311.4513000003
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15520027.291899998
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;04;70183914.40129998
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;36319137.409799986
01;2010;02;Autre;02;933336269.8099998
01;2010;02;Autre;04;2179711.9172000005
01;2010;02;Bureautique;02;1451233146.74
01;2010;02;Cuisson;01;11895716.137100002
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;04;52637987.7892
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;104081050.07800004
01;2010;03;Autre;02;2667450815.17
01;2010;03;Autre;04;5947629.640000001
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;40610155.5586
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;04;143648083.757
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917611.9802999995
01;2010;04;Autre;02;72267636.0865
01;2010;04;Autre;04;170672.78899999996
01;2010;04;Bureautique;02;123791807.57670002
01;2010;04;Cuisson;01;618169.6833999999
01;2010;04;Cuisson;02;4207289.667300001
01;2010;04;Cuisson;04;2351681.8459
01;2010;04;Froid_alimentaire;02;1545724.7325
01;2010;04;Process;02;1595910.6004999995
01;2011;01;Autre;01;46540937.81949999
01;2011;01;Autre;02;1239328320.1699998
01;2011;01;Autre;04;2805248.848899999
01;2011;01;Bureautique;02;1943638129.22
01;2011;01;Cuisson;01;14463005.548599998
01;2011;01;Cuisson;02;135153536.63
01;2011;01;Cuisson;04;67158506.54429999
01;2011;01;Froid_alimentaire;02;33533899.031399995
01;2011;01;Process;02;27291935.649899997
01;2011;02;Autre;01;35056193.99700001
01;2011;02;Autre;02;933275437.38
01;2011;02;Autre;04;2103915.5242999997
01;2011;02;Bureautique;02;1463655473.6
01;2011;02;Cuisson;01;11085536.7169
01;2011;02;Cuisson;02;101787865.78700003
01;2011;02;Cuisson;04;50368928.18139999
01;2011;02;Froid_alimentaire;02;25252681.239999995
01;2011;02;Process;02;20552174.573000006
01;2011;03;Autre;01;100461767.96100003
01;2011;03;Autre;02;2667276466.3199997
01;2011;03;Autre;04;5740809.153300001
01;2011;03;Bureautique;02;4183087547.3399997
01;2011;03;Cuisson;01;37844318.04970001
01;2011;03;Cuisson;02;291242036.56799996
01;2011;03;Cuisson;04;137455833.93900004
01;2011;03;Froid_alimentaire;02;72171491.87670001
01;2011;03;Process;02;58737567.586200014
01;2011;04;Autre;01;5781706.2219
01;2011;04;Autre;02;145721553.37399998
01;2011;04;Autre;04;338214.9611999999
01;2011;04;Bureautique;02;250677230.08300003
01;2011;04;Cuisson;01;1204394.8534
01;2011;04;Cuisson;02;8616843.852999996
01;2011;04;Cuisson;04;4640630.5479000015
01;2011;04;Froid_alimentaire;02;3104315.6722999997
01;2011;04;Process;02;3215744.492499999
01;2012;01;Autre;01;44922547.227
01;2012;01;Autre;02;1239188237.88
01;2012;01;Autre;04;2707700.663300001
01;2012;01;Bureautique;02;1960275490.16
01;2012;01;Cuisson;01;13477975.8697
01;2012;01;Cuisson;02;138721355.567
01;2012;01;Cuisson;04;64263515.3127
01;2012;01;Froid_alimentaire;02;33262043.860600002
01;2012;01;Process;02;27252629.584699996
01;2012;02;Autre;01;33837161.81249999
01;2012;02;Autre;02;933169883.6499997
01;2012;02;Autre;04;2030754.7093
01;2012;02;Bureautique;02;1476183988.37
01;2012;02;Cuisson;01;10330534.4346
01;2012;02;Cuisson;02;104478991.87600002
01;2012;02;Cuisson;04;48197672.57850001
01;2012;02;Froid_alimentaire;02;25047957.940700002
01;2012;02;Process;02;20522573.118699998
01;2012;03;Autre;01;96968343.05100001
01;2012;03;Autre;02;2666974770.7799997
01;2012;03;Autre;04;5541180.858399999
01;2012;03;Bureautique;02;4218893245.17
01;2012;03;Cuisson;01;35266852.71300001
01;2012;03;Cuisson;02;299072813.66899997
01;2012;03;Cuisson;04;131530528.46799996
01;2012;03;Froid_alimentaire;02;71586398.58300002
01;2012;03;Process;02;58652970.86159999
01;2012;04;Autre;01;8545066.2285
01;2012;04;Autre;02;220430401.22199997
01;2012;04;Autre;04;499864.46059999993
01;2012;04;Bureautique;02;381350835.92300004
01;2012;04;Cuisson;01;1739887.6092
01;2012;04;Cuisson;02;13296137.358
01;2012;04;Cuisson;04;6819942.3756
01;2012;04;Froid_alimentaire;02;4670802.130700001
01;2012;04;Process;02;4859897.226699999
01;2013;01;Autre;01;43360430.501399994
01;2013;01;Autre;02;1238991261.18
01;2013;01;Autre;04;2613544.230900001
01;2013;01;Bureautique;02;1977054920.4799998
01;2013;01;Cuisson;01;12560032.134400003
01;2013;01;Cuisson;02;142097742.09199995
01;2013;01;Cuisson;04;61493310.63199999
01;2013;01;Froid_alimentaire;02;32992390.946399994
01;2013;01;Process;02;27213378.2439
01;2013;02;Autre;01;32660519.6581
01;2013;02;Autre;02;933021498.63
01;2013;02;Autre;04;1960137.7183
01;2013;02;Bureautique;02;1488819565.59
01;2013;02;Cuisson;01;9626953.227999998
01;2013;02;Cuisson;02;107025445.60199998
01;2013;02;Cuisson;04;46120014.0637
01;2013;02;Froid_alimentaire;02;24844893.655200012
01;2013;02;Process;02;20493013.8684
01;2013;03;Autre;01;93596405.58600001
01;2013;03;Autre;02;2666550378.54
01;2013;03;Autre;04;5348493.866099999
01;2013;03;Bureautique;02;4255005668.430001
01;2013;03;Cuisson;01;32864930.80110001
01;2013;03;Cuisson;02;306473617.1079999
01;2013;03;Cuisson;04;125860639.00599997
01;2013;03;Froid_alimentaire;02;71006048.13949999
01;2013;03;Process;02;58568486.032999985
01;2013;04;Autre;01;11194582.440999998
01;2013;04;Autre;02;296427049.47999996
01;2013;04;Autre;04;654854.3510000001
01;2013;04;Bureautique;02;516119181.225
01;2013;04;Cuisson;01;2221367.5206000004
01;2013;04;Cuisson;02;18262148.7373
01;2013;04;Cuisson;04;8877727.4848
01;2013;04;Froid_alimentaire;02;6243603.212600002
01;2013;04;Process;02;6528772.5441
01;2014;01;Autre;01;41852631.17830001
01;2014;01;Autre;02;1238739149.9
01;2014;01;Autre;04;2522661.880000001
01;2014;01;Bureautique;02;1993978042.32
01;2014;01;Cuisson;01;11704606.619
01;2014;01;Cuisson;02;145292636.71699998
01;2014;01;Cuisson;04;58842519.8777
01;2014;01;Froid_alimentaire;02;32724923.4695
01;2014;01;Process;02;27174182.237600002
01;2014;02;Autre;01;31524793.336
01;2014;02;Autre;02;932831571.5200001
01;2014;02;Autre;04;1891976.4996000004
01;2014;02;Bureautique;02;1501563211.79
01;2014;02;Cuisson;01;8971289.713900002
01;2014;02;Cuisson;02;109434747.197
01;2014;02;Cuisson;04;44131921.052499995
01;2014;02;Froid_alimentaire;02;24643475.485700004
01;2014;02;Process;02;20463498.7045
01;2014;03;Autre;01;90341715.50599997
01;2014;03;Autre;02;2666007617.17
01;2014;03;Autre;04;5162507.156300001
01;2014;03;Bureautique;02;4291427156.08
01;2014;03;Cuisson;01;30626593.843099996
01;2014;03;Cuisson;02;313467376.65500003
01;2014;03;Cuisson;04;120435166.14399998
01;2014;03;Froid_alimentaire;02;70430401.8616
01;2014;03;Process;02;58484126.3544
