COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Auxiliaires;02;161935612.10239998;161935612.10239998
01;2009;01;Chauffage;01;136259096.48;90565331.04
01;2009;01;Chauffage;02;1001604666.779;1273283642.9499996
01;2009;01;Chauffage;03;814589684.8200003;450145664.81
01;2009;01;Chauffage;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;06;498869709.25000006;338280639.37000006
01;2009;01;Climatisation;02;671834689.46;2045961804.57
01;2009;01;ECS;01;9071833.728000002;4989509.0518
01;2009;01;ECS;02;148475611.74089998;133628066.55869998
01;2009;01;ECS;03;60263103.428;30131552.095999997
01;2009;01;ECS;04;142757484.91099995;99930247.289
01;2009;01;ECS;06;31425478.074100006;17284012.684199996
01;2009;01;Eclairage;02;1114264075.4569998;1114264075.4569998
01;2009;01;Ventilation;02;213304275.79540002;213304275.7954
01;2009;02;Auxiliaires;02;86783798.78770003;86783798.78770003
01;2009;02;Chauffage;01;71553032.59799999;47577082.479
01;2009;02;Chauffage;02;514193253.38;716991445.2419999
01;2009;02;Chauffage;03;417804386.959;231002354.58899996
01;2009;02;Chauffage;04;1264052839.7649999;922410009.6849998
01;2009;02;Chauffage;06;245149899.17900005;166324909.52999994
01;2009;02;Climatisation;02;740826374.7000002;2255683856.12
01;2009;02;ECS;01;6696829.3281000005;3683255.9359999998
01;2009;02;ECS;02;114822062.591;103339849.92300001
01;2009;02;ECS;03;43714089.90800001;21857044.575000007
01;2009;02;ECS;04;107410555.6921;75187394.12549998
01;2009;02;ECS;06;20503633.5188;11276998.443300001
01;2009;02;Eclairage;02;791142334.851;791142334.851
01;2009;02;Ventilation;02;167966210.2023999;167966210.2023999
01;2009;03;Auxiliaires;02;737402554.7035998;737402554.7035998
01;2009;03;Chauffage;01;567355163.37;376748225.3
01;2009;03;Chauffage;02;5181809539.400001;6356962359.930001
01;2009;03;Chauffage;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;10259848207.18;7475452168.39
01;2009;03;Chauffage;06;2339191374.39;1585238968.7800002
01;2009;03;Climatisation;02;996865176.8600001;3033464541.4700003
01;2009;03;ECS;01;16700255.756599998;9185140.688900001
01;2009;03;ECS;02;332130925.653;298917836.325
01;2009;03;ECS;03;134159608.55;67079804.42599999
01;2009;03;ECS;04;289353732.294;202547620.27700004
01;2009;03;ECS;06;68579367.96200001;37718652.62759999
01;2009;03;Eclairage;02;2294285725.01;2294285725.01
01;2009;03;Ventilation;02;429346443.15849996;429346443.15849996
01;2010;01;Auxiliaires;02;157986062.01959997;157986062.01959997
01;2010;01;Chauffage;01;130594021.07000004;86800032.19999997
01;2010;01;Chauffage;02;1073554251.9659997;1325393021.9150994
01;2010;01;Chauffage;03;780523624.6299996;431320214.14109993
01;2010;01;Chauffage;04;2311807316.59;1685184597.3286998
01;2010;01;Chauffage;06;478201663.7800001;324265742.8579
01;2010;01;Climatisation;02;670694776.7069999;2055788521.1500003
01;2010;01;ECS;01;8705194.425600003;4789928.5575
01;2010;01;ECS;02;148774919.086;134498099.57220003
01;2010;01;ECS;03;57033942.88370003;28524537.939400006
01;2010;01;ECS;04;143761405.88759997;100800275.57789999
01;2010;01;ECS;06;31511928.849299997;17350540.3413
01;2010;01;Eclairage;02;1108945348.2289;1108945348.2289
01;2010;01;Ventilation;02;213035938.28259996;213035938.28259996
01;2010;02;Auxiliaires;02;85523620.18099995;85523620.18099995
01;2010;02;Chauffage;01;68566878.11500002;45591563.12110001
01;2010;02;Chauffage;02;537958719.4470001;728933229.2293003
01;2010;02;Chauffage;03;400310855.70300007;221330115.8011
01;2010;02;Chauffage;04;1268097557.4269998;925501608.8089999
01;2010;02;Chauffage;06;234978495.97299996;159424003.05890003
01;2010;02;Climatisation;02;738842166.0040001;2264070487.2982
01;2010;02;ECS;01;6426174.3449;3535925.6579
01;2010;02;ECS;02;115010369.35249998;103971809.89459999
01;2010;02;ECS;03;41371691.699099995;20691335.968500003
01;2010;02;ECS;04;108134286.7009;75819361.57
01;2010;02;ECS;06;20570246.9026;11326107.4953
01;2010;02;Eclairage;02;787365930.5856999;787365930.5856999
01;2010;02;Ventilation;02;167762532.74319994;167762532.74319997
